t,robot_id,x,y,state,held_item,path_length,local_density_3,local_density_5,stuck_duration,collision_vertex,collision_edge,is_stuck,is_deadlocked
18,28,9,15,IN_PROGRESS,1,0,3,8,0,0,0,0,0
18,29,8,18,IN_PROGRESS,0,1,3,7,0,0,0,0,0
18,30,8,19,IN_PROGRESS,0,6,2,5,0,0,0,0,0
18,31,10,18,IN_PROGRESS,1,0,2,5,0,0,0,0,0
18,32,12,9,IN_PROGRESS,0,3,1,1,0,0,0,0,0
18,33,14,16,IN_PROGRESS,1,13,2,2,4,0,0,1,0
18,34,14,15,IN_PROGRESS,1,0,1,4,0,0,0,0,0
18,35,15,18,IN_PROGRESS,1,0,1,4,0,0,0,0,0
18,36,16,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
18,37,19,15,IN_PROGRESS,1,0,1,2,0,0,0,0,0
18,38,18,22,IN_PROGRESS,0,0,3,4,0,0,0,0,0
18,39,19,22,IN_PROGRESS,0,6,3,5,7,0,0,1,1
18,40,20,22,IN_PROGRESS,0,11,3,5,7,0,0,1,1
18,41,22,20,IN_PROGRESS,0,6,1,3,0,0,0,0,0
18,42,20,15,IN_PROGRESS,1,21,1,1,2,0,0,1,0
18,43,23,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
19,0,5,8,IN_PROGRESS,1,0,1,4,0,0,0,0,0
19,1,3,1,IN_PROGRESS,0,0,2,3,0,0,0,0,0
19,2,4,1,IN_PROGRESS,0,6,2,5,8,0,0,1,1
19,3,5,1,IN_PROGRESS,0,8,3,6,8,0,0,1,1
19,4,1,6,IN_PROGRESS,1,3,0,1,0,0,0,0,0
19,5,7,10,IN_PROGRESS,1,12,1,5,1,0,0,0,0
19,6,8,1,IN_PROGRESS,0,0,3,7,0,0,0,0,0
19,7,9,1,IN_PROGRESS,0,0,2,7,0,0,0,0,0
19,8,10,1,IN_PROGRESS,0,10,3,7,8,0,0,1,1
19,9,5,5,IN_PROGRESS,1,5,1,5,0,0,0,0,0
19,10,11,8,IN_PROGRESS,1,0,1,2,0,0,0,0,0
19,11,13,1,IN_PROGRESS,0,0,4,6,0,0,0,0,0
19,12,14,1,IN_PROGRESS,0,9,3,5,8,0,0,1,1
19,13,15,1,IN_PROGRESS,0,11,3,5,8,0,0,1,1
19,14,16,5,IN_PROGRESS,1,9,1,3,0,0,0,0,0
19,15,9,5,IN_PROGRESS,1,13,0,5,0,0,0,0,0
19,16,16,1,IN_PROGRESS,0,11,3,6,8,0,0,1,1
19,17,17,5,IN_PROGRESS,1,16,1,2,0,0,0,0,0
19,18,21,8,IN_PROGRESS,1,4,0,1,0,0,0,0,0
19,19,21,1,IN_PROGRESS,0,0,1,3,0,0,0,0,0
19,20,22,4,IN_PROGRESS,0,2,1,3,0,0,0,0,0
19,21,22,1,IN_PROGRESS,0,16,2,2,2,0,0,1,0
19,22,8,15,IN_PROGRESS,0,7,5,7,0,0,0,0,0
19,23,3,10,IN_PROGRESS,0,18,1,3,0,0,0,0,0
19,24,3,11,IN_PROGRESS,0,4,1,3,0,0,0,0,0
19,25,5,15,IN_PROGRESS,1,9,2,4,0,0,0,0,0
19,26,7,13,IN_PROGRESS,1,4,3,5,0,0,0,0,0
19,27,7,15,IN_PROGRESS,1,3,4,7,0,0,0,0,0
19,28,9,15,IN_PROGRESS,1,0,3,8,0,0,0,0,0
19,29,9,18,IN_PROGRESS,0,0,3,5,0,0,0,0,0
19,30,8,18,IN_PROGRESS,0,5,3,5,0,0,0,0,0
19,31,10,18,IN_PROGRESS,1,0,2,5,0,0,0,0,0
19,32,12,8,IN_PROGRESS,0,2,1,1,0,0,0,0,0
19,33,14,16,IN_PROGRESS,1,13,2,2,5,0,0,1,0
19,34,14,15,IN_PROGRESS,1,0,1,4,0,0,0,0,0
19,35,15,18,IN_PROGRESS,1,0,1,4,0,0,0,0,0
19,36,16,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
19,37,19,15,IN_PROGRESS,1,0,1,2,0,0,0,0,0
19,38,18,22,IN_PROGRESS,0,0,3,4,0,0,0,0,0
19,39,19,22,IN_PROGRESS,0,6,3,4,8,0,0,1,1
19,40,20,22,IN_PROGRESS,0,11,3,5,8,0,0,1,1
19,41,22,19,IN_PROGRESS,0,5,0,2,0,0,0,0,0
19,42,20,15,IN_PROGRESS,1,21,1,1,3,0,0,1,0
19,43,23,22,IN_PROGRESS,0,0,1,4,0,0,0,0,0
20,0,5,8,IN_PROGRESS,1,0,1,5,0,0,0,0,0
20,1,3,1,IN_PROGRESS,0,0,2,4,0,0,0,0,0
20,2,4,1,IN_PROGRESS,0,6,2,5,9,0,0,1,1
20,3,5,1,IN_PROGRESS,0,8,3,6,9,0,0,1,1
20,4,1,7,IN_PROGRESS,1,2,0,4,0,0,0,0,0
20,5,8,10,IN_PROGRESS,1,11,0,7,0,0,0,0,0
20,6,8,1,IN_PROGRESS,0,0,3,7,0,0,0,0,0
20,7,9,1,IN_PROGRESS,0,0,2,7,0,0,0,0,0
20,8,10,1,IN_PROGRESS,0,10,3,6,9,0,0,1,1
20,9,4,5,IN_PROGRESS,1,4,0,7,0,0,0,0,0
20,10,11,8,IN_PROGRESS,1,0,1,2,0,0,0,0,0
20,11,13,1,IN_PROGRESS,0,0,4,6,0,0,0,0,0
20,12,14,1,IN_PROGRESS,0,9,3,5,9,0,0,1,1
20,13,15,1,IN_PROGRESS,0,11,3,5,9,0,0,1,1
20,14,16,5,IN_PROGRESS,1,9,1,3,1,0,0,0,0
20,15,8,5,IN_PROGRESS,1,12,0,4,0,0,0,0,0
20,16,16,1,IN_PROGRESS,0,11,3,6,9,0,0,1,1
20,17,17,5,IN_PROGRESS,1,16,1,3,1,0,0,0,0
20,18,22,8,IN_PROGRESS,1,3,1,1,0,0,0,0,0
20,19,21,1,IN_PROGRESS,0,0,1,3,0,0,0,0,0
20,20,22,5,IN_PROGRESS,0,1,1,4,0,0,0,0,0
20,21,22,1,IN_PROGRESS,0,16,1,2,3,0,0,1,0
20,22,8,15,IN_PROGRESS,0,7,4,8,1,0,0,0,0
20,23,3,9,IN_PROGRESS,0,17,2,4,0,0,0,0,0
20,24,3,10,IN_PROGRESS,0,3,1,4,0,0,0,0,0
20,25,6,15,IN_PROGRESS,1,8,4,5,0,0,0,0,0
20,26,6,13,IN_PROGRESS,1,3,2,5,0,0,0,0,0
